panel,row,label,column,ours,pub,diff_abs,fail
B,1,16-24 | ,E/P_1999,0.6102203677148872,0.6102203677148657,2.1538326677728037e-14,FALSE
B,2,25-34 | ,E/P_1999,0.8992057227141691,0.8992057227141422,2.6867397195928788e-14,FALSE
B,3,35-44 | ,E/P_1999,0.9017659259615742,0.9017659259615876,1.3322676295501878e-14,FALSE
B,4,45-54 | ,E/P_1999,0.8647589289232188,0.8647589289231974,2.142730437526552e-14,FALSE
B,5,55-64 | ,E/P_1999,0.6607847987715381,0.6607847987715508,1.27675647831893e-14,FALSE
B,6,65+ | ,E/P_1999,0.16421412953225195,0.16421412953225045,1.4988010832439613e-15,FALSE
B,7,16-24 | Not In School,E/P_1999,0.7778911507716694,0.7778911507716598,9.547918011776346e-15,FALSE
B,8,16-24 | In School,E/P_1999,0.42448398252666497,0.4244839825266106,5.434541705540141e-14,FALSE
B,9,25-34 | Less than HS,E/P_1999,0.8151634395373503,0.8151634395376027,2.524647157997606e-13,FALSE
B,10,25-34 | HS,E/P_1999,0.8919140696141526,0.8919140696141008,5.184741524999481e-14,FALSE
B,11,25-34 | Some College,E/P_1999,0.9133436286024906,0.9133436286024892,1.4432899320127035e-15,FALSE
B,12,25-34 | College,E/P_1999,0.9329531138609704,0.9329531138609731,2.7755575615628914e-15,FALSE
B,13,35-44 | Less than HS,E/P_1999,0.7779271308856713,0.7779271308855753,9.603429163007604e-14,FALSE
B,14,35-44 | HS,E/P_1999,0.890814926384312,0.8908149263842717,4.030109579389318e-14,FALSE
B,15,35-44 | Some College,E/P_1999,0.9176128579968316,0.917612857996889,5.739853037312059e-14,FALSE
B,16,35-44 | College,E/P_1999,0.954277645399182,0.9542776453990826,9.947598300641403e-14,FALSE
B,17,45-54 | Less than HS,E/P_1999,0.6995098285142733,0.6995098285143855,1.1213252548714081e-13,FALSE
B,18,45-54 | HS,E/P_1999,0.8401327830656411,0.84013278306571,6.894484982922222e-14,FALSE
B,19,45-54 | Some College,E/P_1999,0.8759056696786456,0.8759056696785081,1.3744561044859438e-13,FALSE
B,20,45-54 | College,E/P_1999,0.9342836762887832,0.9342836762887232,5.995204332975845e-14,FALSE
B,21,55-64 | Less than HS,E/P_1999,0.5142062569320883,0.514206256931923,1.653122083666858e-13,FALSE
B,22,55-64 | HS,E/P_1999,0.6396684461501798,0.6396684461501225,5.728750807065808e-14,FALSE
B,23,55-64 | Some College,E/P_1999,0.6813639388062943,0.6813639388061967,9.758860386455126e-14,FALSE
B,24,55-64 | College,E/P_1999,0.7672743139527861,0.76727431395276,2.609024107869118e-14,FALSE
B,25,65+ | Less than HS,E/P_1999,0.10363309336541286,0.10363309336549086,7.799316747991725e-14,FALSE
B,26,65+ | HS,E/P_1999,0.1534591105277502,0.15345911052774924,9.43689570931383e-16,FALSE
B,27,65+ | Some College,E/P_1999,0.18333297998481476,0.18333297998467876,1.3600232051658168e-13,FALSE
B,28,65+ | College,E/P_1999,0.2522593149762148,0.25225931497618553,2.9254376698872875e-14,FALSE
B,29,TOTAL | ,E/P_1999,0.7164524464985194,0.7164524464984812,3.8191672047105385e-14,FALSE
B,1,16-24 | ,E/P_2018,0.5057965722382829,0.5057965722383089,2.5979218776228663e-14,FALSE
B,2,25-34 | ,E/P_2018,0.8568647798618443,0.8568647798618374,6.8833827526759706e-15,FALSE
B,3,35-44 | ,E/P_2018,0.8833834438461415,0.8833834438461226,1.8984813721090177e-14,FALSE
B,4,45-54 | ,E/P_2018,0.8451908548141748,0.8451908548141785,3.774758283725532e-15,FALSE
B,5,55-64 | ,E/P_2018,0.6912137619839703,0.6912137619839857,1.532107773982716e-14,FALSE
B,6,65+ | ,E/P_2018,0.23263879783842384,0.2326387978384084,1.5432100042289676e-14,FALSE
B,7,16-24 | Not In School,E/P_2018,0.7271591310888487,0.7271591310888595,1.0880185641326534e-14,FALSE
B,8,16-24 | In School,E/P_2018,0.2954574433380634,0.2954574433380727,9.325873406851315e-15,FALSE
B,9,25-34 | Less than HS,E/P_2018,0.7481555586525181,0.7481555586528363,3.1818991885756986e-13,FALSE
B,10,25-34 | HS,E/P_2018,0.8232397589699341,0.8232397589698909,4.318767565791859e-14,FALSE
B,11,25-34 | Some College,E/P_2018,0.8573705644220059,0.8573705644220064,5.551115123125783e-16,FALSE
B,12,25-34 | College,E/P_2018,0.910324981837642,0.910324981837718,7.605027718682322e-14,FALSE
B,13,35-44 | Less than HS,E/P_2018,0.8051786818613904,0.8051786818613607,2.9753977059954195e-14,FALSE
B,14,35-44 | HS,E/P_2018,0.8378896661951499,0.8378896661952558,1.0591527654923993e-13,FALSE
B,15,35-44 | Some College,E/P_2018,0.884558143839813,0.8845581438399404,1.2734258092450546e-13,FALSE
B,16,35-44 | College,E/P_2018,0.939490740268778,0.939490740268818,3.9968028886505635e-14,FALSE
B,17,45-54 | Less than HS,E/P_2018,0.7166561645215147,0.7166561645216285,1.1379786002407855e-13,FALSE
B,18,45-54 | HS,E/P_2018,0.8019046329896105,0.8019046329896636,5.3179682879545e-14,FALSE
B,19,45-54 | Some College,E/P_2018,0.8465459529112868,0.8465459529113547,6.794564910705958e-14,FALSE
B,20,45-54 | College,E/P_2018,0.9209492445162756,0.9209492445162771,1.5543122344752192e-15,FALSE
B,21,55-64 | Less than HS,E/P_2018,0.5552552792583753,0.5552552792581319,2.433608869978343e-13,FALSE
B,22,55-64 | HS,E/P_2018,0.6438761952889273,0.6438761952889002,2.708944180085382e-14,FALSE
B,23,55-64 | Some College,E/P_2018,0.6761946210613221,0.6761946210613613,3.9190872769268026e-14,FALSE
B,24,55-64 | College,E/P_2018,0.7943777072122312,0.794377707212184,4.718447854656915e-14,FALSE
B,25,65+ | Less than HS,E/P_2018,0.13855286041914314,0.13855286041904402,9.911516052341085e-14,FALSE
B,26,65+ | HS,E/P_2018,0.1861475235863919,0.18614752358645087,5.898059818321144e-14,FALSE
B,27,65+ | Some College,E/P_2018,0.2382047683820727,0.2382047683820129,5.978550987606468e-14,FALSE
B,28,65+ | College,E/P_2018,0.3008172146273266,0.30081721462732736,7.771561172376096e-16,FALSE
B,29,TOTAL | ,E/P_2018,0.6632950784368701,0.6632950784369279,5.784261958297066e-14,FALSE
B,1,16-24 | ,dEP_99_18,-0.1044237954766043,-0.10442379547655668,4.76146899686114e-14,FALSE
B,2,25-34 | ,dEP_99_18,-0.04234094285232481,-0.04234094285230483,1.997707554934891e-14,FALSE
B,3,35-44 | ,dEP_99_18,-0.01838248211543269,-0.018382482115465004,3.231442891049596e-14,FALSE
B,4,45-54 | ,dEP_99_18,-0.01956807410904404,-0.01956807410901884,2.51985932120391e-14,FALSE
B,5,55-64 | ,dEP_99_18,0.03042896321243227,0.030428963212434712,2.4424906541753444e-15,FALSE
B,6,65+ | ,dEP_99_18,0.06842466830617189,0.06842466830615793,1.3961054534661343e-14,FALSE
B,7,16-24 | Not In School,dEP_99_18,-0.0507320196828207,-0.05073201968280017,2.053218706166149e-14,FALSE
B,8,16-24 | In School,dEP_99_18,-0.12902653918860155,-0.12902653918853796,6.358802373540584e-14,FALSE
B,9,25-34 | Less than HS,dEP_99_18,-0.06700788088483212,-0.06700788088476639,6.572520305780927e-14,FALSE
B,10,25-34 | HS,dEP_99_18,-0.06867431064421858,-0.06867431064420992,8.659739592076221e-15,FALSE
B,11,25-34 | Some College,dEP_99_18,-0.05597306418048475,-0.055973064180482875,1.8735013540549517e-15,FALSE
B,12,25-34 | College,dEP_99_18,-0.02262813202332836,-0.02262813202325531,7.304920557338335e-14,FALSE
B,13,35-44 | Less than HS,dEP_99_18,0.02725155097571907,0.027251550975785466,6.639480631953631e-14,FALSE
B,14,35-44 | HS,dEP_99_18,-0.0529252601891621,-0.05292526018901578,1.4632045575169172e-13,FALSE
B,15,35-44 | Some College,dEP_99_18,-0.03305471415701855,-0.03305471415694872,6.983302824892235e-14,FALSE
B,16,35-44 | College,dEP_99_18,-0.01478690513040403,-0.014786905130264594,1.3943707299901575e-13,FALSE
B,17,45-54 | Less than HS,dEP_99_18,0.01714633600724136,0.017146336007243024,1.6653345369377348e-15,FALSE
B,18,45-54 | HS,dEP_99_18,-0.03822815007603064,-0.0382281500760463,1.5654144647214707e-14,FALSE
B,19,45-54 | Some College,dEP_99_18,-0.02935971676735882,-0.029359716767153432,2.05387790108702e-13,FALSE
B,20,45-54 | College,dEP_99_18,-0.01333443177250748,-0.013334431772445863,6.161737786669619e-14,FALSE
B,21,55-64 | Less than HS,dEP_99_18,0.04104902232628693,0.04104902232620888,7.805561752505241e-14,FALSE
B,22,55-64 | HS,dEP_99_18,0.00420774913874744,0.004207749138777528,3.008791132907973e-14,FALSE
B,23,55-64 | Some College,dEP_99_18,-0.0051693177449722,-0.005169317744835422,1.367777419103433e-13,FALSE
B,24,55-64 | College,dEP_99_18,0.0271033932594451,0.027103393259424013,2.1087298573974067e-14,FALSE
B,25,65+ | Less than HS,dEP_99_18,0.03491976705373027,0.034919767053553166,1.771013891094242e-13,FALSE
