age_group,education,E/P_1999,E/P_2018,dEP_99_18,s_1999,s_2018,ds_99_18
16-24,NA,0.5695669344152888,0.5033855332421369,-0.06618140117315197,0.156821277025939,0.1417717211967205,-0.01504955582921852
25-34,NA,0.7300577637614268,0.7283592591187475,-0.0016985046426792882,0.17968049531858366,0.16809943194692414,-0.011581063371659511
35-44,NA,0.7463502884603666,0.7272629360893833,-0.019087352370983246,0.2098131260095944,0.15503209336159937,-0.054781032647995026
45-54,NA,0.7475663881548097,0.7273173904991177,-0.02024899765569199,0.1689456447588186,0.15833491793380366,-0.010610726825014932
55-64,NA,0.5011008370950565,0.5751828147662938,0.07408197767123736,0.11159623590053018,0.16414097275577344,0.05254473685524326
65+,NA,0.0865580223788755,0.1540605428567818,0.06750252047790631,0.173143220986534,0.21262086280517892,0.03947764181864491
16-24,Not In School,0.6722063029052601,0.6797864680996586,0.007580165194398525,0.08074186579390658,0.06336612295641789,-0.01737574283748869
16-24,In School,0.46063740957300836,0.360821180967832,-0.09981622860517636,0.0760794112320304,0.07840559824030362,0.0023261870082732228
25-34,Less than HS,0.4701958704166649,0.4320089890305163,-0.03818688138614856,0.02038850064534437,0.011320127734924235,-0.009068372910420133
25-34,HS,0.6974818437156474,0.6284601274372047,-0.06902171627844267,0.052668618672380964,0.038026643249431565,-0.0146419754229494
25-34,Some College,0.767079862106352,0.7376389040221611,-0.029440958084190894,0.05248983086005041,0.04795957451504771,-0.004530256345002696
25-34,College,0.8237268445052967,0.8231213901188547,-6.054543864419948e-4,0.0541335451408049,0.07079308644752118,0.016659541306716277
35-44,Less than HS,0.5379800560506269,0.4839571554639813,-0.054022900586645606,0.0228497099550128,0.013691025272004002,-0.009158684683008799
35-44,HS,0.7357316303044238,0.6457996880119901,-0.08993194229243373,0.06929391681160173,0.03397868720824181,-0.035315229603359914
35-44,Some College,0.7841409550947536,0.7447316883112314,-0.03940926678352219,0.06166590186371088,0.040652315479288326,-0.021013586384422557
35-44,College,0.8028933034964081,0.8080449673754332,0.0051516638790251035,0.05600359737927177,0.06671006540206381,0.010706468022792043
45-54,Less than HS,0.4940773357187806,0.5050641968033242,0.010986861084543553,0.019125381401844742,0.014342863950989675,-0.004782517450855067
45-54,HS,0.7161785783026768,0.6589407354033954,-0.057237842899281466,0.056737848791128746,0.04047129292654808,-0.016266555864580666
45-54,Some College,0.7927123378221057,0.7444532048406381,-0.048259132981467556,0.04614637178474305,0.043187886395979605,-0.002958485388763442
45-54,College,0.8444137057180242,0.8137541695163468,-0.030659536201677384,0.04693604278110556,0.0603328746602862,0.013396831879180643
55-64,Less than HS,0.3122508348770568,0.34940578629800056,0.03715495142094377,0.020912434294560567,0.015667257074162125,-0.005245177220398443
55-64,HS,0.49105345982339466,0.5184374138277981,0.02738395400440341,0.04460445011833815,0.04940705959465745,0.004802609476319303
55-64,Some College,0.565725597509343,0.5894503536017289,0.02372475609238589,0.024871713340656323,0.046674463421418816,0.021802750080762493
55-64,College,0.6326639308340013,0.6835004885289668,0.050836557694965534,0.02120763814697664,0.0523921926655335,0.03118455451855686
65+,Less than HS,0.04745154023247719,0.07084515932918459,0.023393619096707396,0.055096446136638486,0.02859900946374223,-0.026497436672896255
65+,HS,0.09075705373054578,0.12082397333410039,0.030066919603554607,0.06736801062005496,0.07371691213506258,0.006348901515007624
65+,Some College,0.11469393075562374,0.16759562814927106,0.05290169739364732,0.0310642828157774,0.05370991657697306,0.022645633761195664
65+,College,0.13742482646731854,0.22655819686708395,0.0891333703997654,0.019614481414060542,0.05659502462940253,0.036980543215341985
TOTAL,NA,0.5742974292007305,0.5488789982017476,-0.02541843099898289,1,1,0
